qid,tier,lat,lon,sitelinks,iso
n9122346945,craft_cluster,36.97810,140.04234,0,JP
n9061719214,craft_cluster,36.96999,140.05511,0,JP
n9073935691,craft_cluster,36.96799,140.05246,0,JP
n9186306842,institution,36.97683,140.05546,0,JP
n9055140403,craft_cluster,36.97268,140.05723,0,JP
n11387241221,craft_cluster,36.99328,140.00767,0,JP
n9506862456,craft_cluster,36.98377,140.03046,0,JP
n5898506310,institution,37.01460,140.03029,0,JP
n10728992604,institution,37.02144,140.02877,0,JP
n5913206352,institution,37.03110,140.03540,0,JP
n5913228358,institution,37.02635,140.03079,0,JP
n5913228363,institution,37.02628,140.03363,0,JP
n6324496026,craft_cluster,36.97910,140.06263,0,JP
n5919771693,institution,37.02348,140.05023,0,JP
n6021373894,institution,37.03913,140.01633,0,JP
n5913833883,institution,37.03517,140.02712,0,JP
n5913206351,institution,37.03139,140.03599,0,JP
n3844183788,institution,37.04386,140.02769,0,JP
n3812140331,institution,37.04940,140.02974,0,JP
n5901135471,institution,37.06086,140.01311,0,JP
n5919771784,institution,37.05928,140.01275,0,JP
n5901137133,institution,37.06914,140.01298,0,JP
n4162758648,institution,37.06552,140.02489,0,JP
n5919771971,institution,37.08292,140.01473,0,JP
n5913228318,institution,37.03352,140.04204,0,JP
n5240430429,institution,37.04922,140.03934,0,JP
n6038653183,institution,37.06785,140.04450,0,JP
n5905537837,institution,37.08726,140.00447,0,JP
n3175887061,institution,37.33419,139.86077,0,JP
n10899345904,craft_cluster,37.26539,139.88524,0,JP
n4238799789,institution,37.34561,139.91229,0,JP
n11305178494,institution,36.52867,140.09173,0,JP
n2121045037,institution,36.54193,140.50696,0,JP
n11148274418,institution,36.72186,140.14624,0,JP
n975676552,institution,36.77998,140.13830,0,JP
n975680177,institution,36.79073,140.12900,0,JP
n4127223359,institution,36.86872,140.12264,0,JP
n2121039211,institution,36.54022,140.52237,0,JP
n11148274415,institution,36.51311,140.61480,0,JP
n6052536889,institution,36.59038,140.65939,0,JP
n10089627883,institution,36.72840,140.67623,0,JP
n3597966916,institution,36.82902,140.78460,0,JP
n2502326140,institution,36.86678,140.78040,0,JP
